X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-8174407.28195713,5031616.87117928,,Kellogg-Deering Well Field,39.92,CTD980670814,100252,5,1,Connecticut,Norwalk,Fairfield,NPL Site,-73.43195,41.13055,9/8/1983,9/21/1984,9/23/1996,392,,,"<a href=""https://semspub.epa.gov/src/document/01/75001268"" target=""_blank"">CTD980670814 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100252"" target=""_blank"">Kellogg-Deering Well Field</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,,1
-8113180.33750643,5098147.9726621,,Old Southington Landfill,54.35,CTD980670806,100251,6,1,Connecticut,Southington,Hartford,Deleted NPL Site,-72.881939,41.579169,9/8/1983,9/21/1984,9/22/2010,1092,7/20/2018,9/12/2018,"<a href=""https://semspub.epa.gov/src/document/01/75001279"" target=""_blank"">CTD980670806 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100251"" target=""_blank"">Old Southington Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-09-12/pdf/2018-19874.pdf"" target=""_blank"">09/12/2018 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-07-20/pdf/2018-15628.pdf"" target=""_blank"">07/20/2018 (PDF)</a>",,No,,,,,2
-7995986.51718399,5117388.47956819,,Revere Textile Prints Corp.,41.06,CTD004532610,100121,7,1,Connecticut,Sterling,Windham,Deleted NPL Site,-71.829169,41.708331,6/10/1986,7/22/1987,9/30/1992,145,3/1/1994,9/2/1994,"<a href=""https://semspub.epa.gov/src/document/01/75001285"" target=""_blank"">CTD004532610 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100121"" target=""_blank"">Revere Textile Prints Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/01/75001293"" target=""_blank"">09/02/1994 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/01/75001045"" target=""_blank"">03/01/1994 (PDF)</a>",,No,,,,,3
-8126166.98062186,5097497.82189555,,Nutmeg Valley Road,42.69,CTD980669261,100250,8,1,Connecticut,Wolcott,New Haven,Deleted NPL Site,-72.9986,41.5748,1/22/1987,3/31/1989,9/28/2004,922,8/5/2005,9/23/2005,"<a href=""https://semspub.epa.gov/src/document/01/75001286"" target=""_blank"">CTD980669261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100250"" target=""_blank"">Nutmeg Valley Road</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-09-23/pdf/05-19054.pdf"" target=""_blank"">09/23/2005 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-08-05/pdf/05-15435.pdf"" target=""_blank"">08/05/2005 (PDF)</a>",,No,,,,,4
-8090855.10230834,5083566.38240019,,Durham Meadows,33.94,CTD001452093,100108,9,1,Connecticut,Durham,Middlesex,NPL Site,-72.681388,41.48111,6/24/1988,10/4/1989,,,,,"<a href=""https://semspub.epa.gov/src/document/01/75001287"" target=""_blank"">CTD001452093 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100108"" target=""_blank"">Durham Meadows</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,5
-8116396.80287341,5094923.84110781,,Cheshire Ground Water Contamination,35.57,CTD981067317,100265,1031,1,Connecticut,Cheshire,New Haven,Deleted NPL Site,-72.910833,41.5575,6/24/1988,8/30/1990,12/31/1996,422,3/21/1997,7/2/1997,"<a href=""https://semspub.epa.gov/src/document/01/75001177"" target=""_blank"">CTD981067317 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100265"" target=""_blank"">Cheshire Ground Water Contamination</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17032.pdf"" target=""_blank"">07/02/1997 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-03-21/pdf/97-7066.pdf"" target=""_blank"">03/21/1997 (PDF)</a>",,No,,,,,6
-8011323.00343058,5152079.92432409,,Linemaster Switch Corp.,33.71,CTD001153923,100041,1095,1,Connecticut,Woodstock,Windham,NPL Site,-71.966939,41.940561,6/24/1988,2/21/1990,3/29/2005,931,,,"<a href=""https://semspub.epa.gov/src/document/01/75001179"" target=""_blank"">CTD001153923 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100041"" target=""_blank"">Linemaster Switch Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,No,,,,,7
-8131579.55690321,5158067.27199534,,Barkhamsted-New Hartford Landfill,38.05,CTD980732333,100255,1206,1,Connecticut,Barkhamsted,Litchfield,NPL Site,-73.047222,41.980556,6/24/1988,10/4/1989,9/28/2001,803,,,"<a href=""https://semspub.epa.gov/src/document/01/75001185"" target=""_blank"">CTD980732333 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100255"" target=""_blank"">Barkhamsted-New Hartford Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,8
-8006560.97825343,5110971.28637971,,Gallup's Quarry,46.29,CTD108960972,100201,1209,1,Connecticut,Plainfield,Windham,NPL Site,-71.924161,41.665281,6/24/1988,10/4/1989,9/30/1997,498,,,"<a href=""https://semspub.epa.gov/src/document/01/75001187"" target=""_blank"">CTD108960972 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100201"" target=""_blank"">Gallup's Quarry</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,9
-8064864.5615564,5138499.22647372,,Precision Plating Corp.,49.1,CTD051316313,100156,1216,1,Connecticut,Vernon,Tolland,NPL Site,-72.447911,41.84975,6/24/1988,10/4/1989,,,,,"<a href=""https://semspub.epa.gov/src/document/01/75001193"" target=""_blank"">CTD051316313 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100156"" target=""_blank"">Precision Plating Corp.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,10
